title,price,rating,num_reviews
"HP Elitebook 840 G5 Renewed Laptop (14in, 1920 x 1080, Intel Quad-Core i5-8250U, 8GB DDR4 RAM, 256GB SSD, USB Type-C, HDMI, Windows 10 Pro)",694.00,3.4 out of 5 stars,140
"Apple 2020 MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray ; English","2,965.00",4.7 out of 5 stars,860
"Lenovo ThinkPad T490 Laptop PC 14"" FHD (1920x1080) Display, 8th Gen Intel Core i7-8665U, 16GB DDR4 RAM, 256GB SSD, HDMI, Backlit Keyboard, Fingerprint, Windows 10 Pro (Renewed)",970.00,4.4 out of 5 stars,22
DELL Chromebook 3120 Renewed Business Laptop | Intel Celeron N2840 Dual Core CPU | 4GB DDR3 RAM | 16GB SATA Hard | 11.6 inch Display | CHROME OS | 15 Days of IT-Sizer Golden Warranty (RENEWED*),94.98,3.3 out of 5 stars,44
Dell Latitude 7400 Laptop 14 Intel Core I7 8Th Gen I7-8665U Dual Core 512Gb Ssd 16Gb 1920X1080 Fhd Windows 10 Pro (Renewed),830.00,3.9 out of 5 stars,198
"Lenovo ThinkPad T480 14"" FHD Business Laptop, Intel Core i5-8250U, 16GB DDR4 RAM, 512GB SSD, CAM, Fingerprint Reader,Backlit Keyboard,Windows 10 Pro 64-bit(Renewed) (Upgraded)",676.00,3.4 out of 5 stars,15
Lenovo ThinkPad X280 Business Laptop | Intel Core i5-8th Generation CPU | 8GB DDR4 RAM | 256GB SSD Hard | 12.5 inch Display | Windows 10 Pro (Renewed),593.00,4.1 out of 5 stars,25
"Dell Latitude 7390 2in1 notebook laptop, Intel Core i7-8 Gen. CPU, 16GB DDR4 RAM, 512GB SSD Hard, 13.3 inch Touch 360° Display (Renewed) with 15 Days of IT-Sizer Golden Warranty",868.00,4.1 out of 5 stars,304
HP EliteBook 840 G6 Renewed Business Laptop | intel Core i7-8th Generation CPU | 16GB RAM | 256GB Solid State Drive (SSD) | 14.1 inch Non-Touch Display | Windows 10 Pro. | RENEWED,777.00,3.7 out of 5 stars,4
"Lenovo 14"" Business Laptop, Intel Core i3-1215U 6-core Processor, 20GB RAM, 1TB SSD Storage, 14"" HD Anti-Glare Display, Wi-Fi 6 and Bluetooth, Fingerprint Reader, HDMI, Windows 11 Home in S Mode","1,640.00",4.3 out of 5 stars,40
"Lenovo ThinkPad T450 Business Laptop, Intel Core i5-5th Generation CPU, 8GB DDR3L RAM, 256GB SSD Hard, 14.1 inch Display, (Renewed) with 15 Days of IT-SIZER Golden Warranty",369.00,2.8 out of 5 stars,55
"hp 2024 Newest Pavilion 15 15.6"""" FND (1920x1080) Display Laptop, Intel Core i5-1335U Processor |16GB DDR4-3200MHz Ram|1TB NVMe SSD |Backlit Keyboard |Fingerprint Reader |Windows 11 (Siver)","2,145.00",,
"Lenovo ThinkPad X1 Carbon 6th 14"" FHD Laptop, Intel Core i5-8350U Up to 3.6GHz 16GB RAM 512GB SSD Webcam,Backlit Keyboard, Fingerprint, Win10 Pro (Renewed)",925.00,5.0 out of 5 stars,2
"Dell Latitude 5300 Laptop, 13.3"" Intel Core i5-8365 Laptop, 16GB RAM, 512GB ssd, 1.6GHz, Windows 10 Pro (Renewed)",779.00,3.8 out of 5 stars,14
"Lenovo ThinkPad X1 Carbon Ultralight Laptop, Intel Core i7-8550U CPU, 16GB DDR4 BUILTIN RAM, 512GB SSD M.2 Hard, 14 inch Display, Windows 10 Pro (Renewed)",998.99,3.2 out of 5 stars,97
"HP EliteBook 840 G3 Intel Core i5 6th Generation 16GB DDR4 RAM 512GB SSD HARD-DRIVE 14"" FHD Windows 10 Pro 64-Bit Silver Laptop (Renewed)",590.00,3.0 out of 5 stars,125
"Dell Latitude 3400 14 Inch Laptop PC, Intel Core i5-8265U Quad Core 1.6Ghz to 3.9Ghz, 16GB DDR4 RAM, 256 GB SSD, Webcam, Windows 11 Pro (RENEWED)",673.00,4.4 out of 5 stars,10
"Yodoit Portable Monitor 15.6"" FHD 1080P Screen IPS 1920×1080 100% SRGB Display with Type C USB Port and Speakers with Smart Cover, Compatible with PC, Laptop, MacBook, Xbox",449.00,4.7 out of 5 stars,"1,724"
,,,"
                                                    laptop i7
                                                "
,,,
,,,
,,,
